"name","Code_display","Common_name","Latin_name","Major_use","Other_uses","Crop_comments","DSSAT_code","APSIM_code","AgTrials_code","Photosynthetic.pathway","Repro_type","Daylength","Vernalization","Harvested_parts","When_harvested","N_fixation","Major_planting","Other_planting","Wikipedia","DSSAT_tree_node"
"NPL","CRID","Nopal","Opuntia ficus-indica","Fruit","Vegetable, forage","Multiple other names. Other spp.","NL",NA,NA,"CAM","Perennial",NA,NA,"Fruit",NA,"N","Stem cutting",NA,"https://en.wikipedia.org/wiki/Opuntia_ficus-indica","Fruit crops"
"OST","CRID","Erect prickly pear","Opuntia stricta","Specialty",NA,NA,"OS",NA,NA,"CAM","Perennial",NA,NA,"Fruit",NA,"N","Stem cutting",NA,"https://en.wikipedia.org/wiki/Opuntia_stricta","Various"
"NCO","CRID","Cochineal nopal cactus","Nopalea cochenillifera",NA,NA,NA,"NC",NA,NA,"CAM","Perennial",NA,NA,"Fruit",NA,"N","Stem cutting",NA,"https://en.wikipedia.org/wiki/Opuntia_cochenillifera","Various"
"PTY","CRID","Pitaya","Stenocereus spp.","Fruit",NA,NA,"PY",NA,NA,"CAM","Perennial",NA,NA,"Fruit",NA,"N","Stem cutting",NA,"https://en.wikipedia.org/wiki/Stenocereus","Fruit crops"
"DRF","CRID","Dragon fruit","Selenicereus spp.","Fruit",NA,NA,"DF",NA,NA,"CAM","Perennial",NA,NA,"Fruit",NA,"N","Stem cutting",NA,"https://en.wikipedia.org/wiki/Selenicereus","Fruit crops"
"OAT","CRID","Oats","Avena sativa","Cereal, Forage",NA,NA,"OA","Oats",NA,"C3","Annual","LD",NA,"Seed",NA,"N","Seed",NA,NA,"Cereals"
"OKR","CRID","Okra","Abelmoschus esculentus","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Fruit",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Lentil","Vegetables"
"OLP","CRID","Oil palm","Elaeis spp.","Oil seed",NA,"E. guineensis & others","OP","Oilpalm",NA,"C3","Perennial",NA,NA,"Seed",NA,"N","Transplant",NA,"en.wikipedia.org/wiki/Elaeis","Oil crops"
"OLV","CRID","Olives","Olea europeae","Oil seed",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Olive","Oil crops"
"ONI","CRID","Onion","Allium cepa","Vegetable",NA,"Includes scallion and green onions","ON","Onion",NA,"C3","Biennial","SD, ID, LD","Y","Bulb",NA,"N","Seed","Sets","en.wikipedia.org/wiki/Onion","Vegetables"
"OTH","CRID","Other","var.","var.",NA,"""Other"" refers to species not listed herein, or a mixture of species.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAR","CRID","Parsnip","Pastinaca sativa","Vegetable",NA,NA,NA,NA,NA,"C3","Biennial",NA,"Y","Root",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Parsnip","Vegetables"
"PCH","CRID","Pak choi","Brassica rapa","Vegetable",NA,"Bok choy, pok choi",NA,NA,NA,"C3","Biennial",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Bok_choy","Vegetables"
"PCN","CRID","Pecan","Carya illinoinensis","Nut",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Pecan","Nut"
"PEA","CRID","Pea","Pisum sativum","Pulse",NA,NA,"PE","Pea",NA,"C3","Annual","LD","Y","Seed",NA,"Y","Seed",NA,"https://en.wikipedia.org/wiki/Pea","Legumes"
"PER","CRID","Pear","Pyrus spp.","Fruit",NA,NA,"PA","Pear",NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Transplant",NA,"https://en.wikipedia.org/wiki/Pear","Fruit crops"
"PGP","CRID","Pigeon pea","Cajanus cajan","Pulse",NA,NA,"PP","Pigeonpea","Pigeonpea","C3","Annual","SD",NA,"Seed",NA,"Y","Seed",NA,"en.wikipedia.org/wiki/Pigeon_pea","Legumes"
"PLM","CRID","Plum","Prunus insititia","Fruit",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Fruit",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Plum","Fruit crops"
"PMK","CRID","Pumpkin","Cucurbita spp.","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Fruit",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Pumpkin","Vegetables"
"PML","CRID","Pearl millet","Pennisetum glaucum","Cereal",NA,NA,"ML","Millet","Pearl millet","C4","Annual",NA,NA,"Seed","Stage","N","Seed",NA,"https://en.wikipedia.org/wiki/Pearl_millet","Cereals"
"PNA","CRID","Pineapple","Ananas comosus","Fruit",NA,NA,"PI","Pineapple",NA,"CAM","Annual",NA,NA,"Fruit",NA,"N","Slips",NA,"en.wikipedia.org/wiki/Pineapple#Cultivation","Fruit crops"
"PNT","CRID","Peanut","Arachis hypogea","Oil seed, Pulse",NA,"Groundnut","PN","Peanut",NA,"C3","Annual","DN",NA,"Seed",NA,"Y","Seed",NA,"https://en.wikipedia.org/wiki/Peanut","Legumes"
"POP","CRID","Poplar","Populus spp.","Bioenergy",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Populus","Sugar/Energy"
"POT","CRID","Potato","Solanum tunerosum","Tuber crop",NA,NA,"PT","Potato","Potato","C3","Annual",NA,NA,"Tuber","Date","N","Tubers",NA,"https://en.wikipedia.org/wiki/Potato","Root Crops"
"PPN","CRID","Perennial peanut","Arachis spp.","Forage",NA,NA,"PO","Peanut",NA,"C3","Perennial",NA,NA,"Shoot",NA,"Y","Seed",NA,"https://en.wikipedia.org/wiki/Arachis_glabrata","Forages"
"PPR","CRID","Bell pepper","Capsicum annum","Vegetable",NA,"Includes bell and chile","PR","Capsicumpepper",NA,"C3","Annual",NA,NA,"Fruit",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Capsicum_annuum","Vegetables"
"PPY","CRID","Papaya","Carica papaya","Fruit",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Fruit",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Papaya","Fruit crops"
"PRM","CRID","Proso millet","Panicum miliaceum","Cereal",NA,NA,"PM","Prosomillet",NA,"C4","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Proso_millet","Cereals"
"PRS","CRID","Parsley","Petroselenium crispum","Vegetable",NA,NA,NA,NA,NA,"C3","Biennial",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Parsley","Vegetables"
"PSM","CRID","Persimmon","Diospyros kaki","Fruit",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Fruit",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Persimmon","Fruit crops"
"PST","CRID","Pistachio","Pistacia vera","Nut",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Pistachio","Nut"
"QUN","CRID","Quinoa","Chenopodium quinoa","Pseudocereal",NA,NA,"QU","Quinoa",NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Quinoa","Cereals"
"RAD","CRID","Radish","Raphanus sativus","Vegetable",NA,NA,"RD",NA,NA,"C3","Annual","LD","Y","Root",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Radish","Vegetables"
"RAP","CRID","Rape","Brassica rapa","Oil seed",NA,"Also as rapeseed, oilseed rape","RA","Rape",NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Rapeseed","Oil crops"
"RCL","CRID","Red clover","Trifolium pratense","Forage",NA,NA,"RC","Redclover",NA,"C3","Perennial",NA,NA,"Shoot",NA,"Y","Seed",NA,"en.wikipedia.org/wiki/Trifolium_pratense","Forages"
"RGA","CRID","Annual ryegrass","Festuca perennis","Silage","Turf","Also as Lolium multiflorum","RG",NA,NA,"C3","Annual",NA,NA,"Shoot",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Festuca_perennis","Forages"
"RGP","CRID","Perennial ryegrass","Lolium perenne","Forage","Turf","See also annual ryegrass",NA,NA,NA,NA,"Perennial",NA,NA,"Shhot",NA,"N","Seed","Vegetative","https://en.wikipedia.org/wiki/Lolium_perenne","Forages"
"RHP","CRID","Rhizoma peanut","Arachis glabrata","Forage",NA,NA,"RP","Rhizomapeanut",NA,"C3","Perennial",NA,NA,"Shoot",NA,"N","Rhizomes",NA,"en.wikipedia.org/wiki/Arachis_glabrata","Forages"
"RIC","CRID","Rice","Oryza sativa","Cereal",NA,NA,"RI","Rice","Rice","C3","Annual",NA,NA,"Seed",NA,"N","Transplant","Seed","https://en.wikipedia.org/wiki/Rice","Cereals"
"RPN","CRID","Perennial rice","Oryza sativa","Cereal",NA,NA,"RN","Rice","Rice","C3","Perennial",NA,NA,"Seed",NA,"N","Transplant","Seed","https://en.wikipedia.org/wiki/Perennial_rice","Cereals"
"RYE","CRID","Rye","Secale cereale","Cereal","Forage, Cover crop",NA,"RY",NA,NA,"C3","Annual","LD","Y","Seed",NA,NA,"Seed",NA,"https://en.wikipedia.org/wiki/Rye","Cereals"
"SAF","CRID","Safflower","Carthamus tinctorius","Oil seed",NA,NA,"SF","Safflower",NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Safflower","Oil crops"
"SBN","CRID","Soybean","Glycine max","Pulse",NA,NA,"SB","Soybean","Soybean","C3","Annual",NA,NA,"Seed",NA,"Y","Seed",NA,"https://en.wikipedia.org/wiki/Soybean","Legumes"
"SBT","CRID","Sugar beet","Beta vulgaris","Sugar",NA,NA,"BS","Beetsugar",NA,"C3","Annual",NA,NA,"Root",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Sugar_beet","Sugar/Energy"
"SES","CRID","Sesame","Sesamum indicum","Oil seed",NA,NA,"SS","Sesame",NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Sesame","Oil crops"
"SGG","CRID","Sorghum","Sorghum bicolor","Cereal","Forage, bioenergy",NA,"SG",NA,NA,"C4","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Sorghum","Cereals"
"SHL","CRID","Shallot","Allium cepa","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Seed",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Shallot","Vegetables"
"SPN","CRID","Spinach","Spinacia oleracea","Vegetable",NA,NA,NA,NA,NA,"C3","Annual","LD",NA,"Leaf",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Spinach","Vegetables"
"SQS","CRID","Summer squash","Cucurbita pepo","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Fruit",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Summer_squash","Vegetables"
"SQW","CRID","Winter squash","Cucurbita moschata","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Fruit",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Winter_squash","Vegetables"
"STB","CRID","Strawberry","Fragaria spp.","Fruit",NA,NA,"SR",NA,NA,"C3","Annual",NA,NA,"Fruit",NA,"N","Runners",NA,"en.wikipedia.org/wiki/Strawberry","Fruit crops"
"STR","CRID","Shrubs/trees","(various)",NA,NA,NA,"ST","Tree",NA,"C3","Perennial",NA,NA,NA,NA,"N",NA,NA,NA,"Various"
"STV","CRID","Stevia","Stevia rebaudiana","Artificial sweetener",NA,NA,"SV",NA,NA,NA,"Perennial",NA,NA,"Leaves",NA,"N","Seeds","Cuttings","en.wikipedia.org/wiki/Stevia_rebaudiana","Various"
"SUC","CRID","Sugarcane","Saccharum spp.","Sugar",NA,NA,"SC","Sugar",NA,"C4","Perennial",NA,NA,"Stem",NA,"N","Stem cutting",NA,"https://en.wikipedia.org/wiki/Sugarcane","Sugar/Energy"
"SUN","CRID","Sunflower","Helianthus annuus","Oil seed",NA,NA,"SU","Sunflower",NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Common_sunflower","Oil crops"
"SWC","CRID","Sweet corn","Zea mays","Vegetable",NA,NA,"SW",NA,NA,"C4","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Sweet_corn","Vegetables"
"SWG","CRID","Switch grass","Panicum virgatum","Bioenergy","Forage",NA,"SI","Switchgrass",NA,"C3","Perennial",NA,NA,"Seed",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Panicum_virgatum","Sugar/Energy"
"SWP","CRID","Sweet potato","Ipomoea batata","Root crop",NA,NA,"SP","Sweetpotato","Sweet potato","C3","Annual",NA,NA,"Root","Date","N","Stem cutting","Root cutting, slips","https://en.wikipedia.org/wiki/Sweet_potato","Root Crops"
"TAN","CRID","Tanier","Xanthosoma spp","Tuber crop",NA,"Also known as cocoyam, tannier, malanga, yautia, dasheen, etc.","TN","Tanier",NA,"C3","Annual",NA,NA,"Corm",NA,"N","Corm pieces",NA,"en.wikipedia.org/wiki/Xanthosoma","Root Crops"
"TAR","CRID","Taro","Colocasia esculenta","Tuber crop",NA,NA,"TR","Taro",NA,"C3","Annual",NA,NA,"Tuber",NA,"N","Hulls","Tuber pieces","en.wikipedia.org/wiki/Taro","Root Crops"
"TBN","CRID","Tepary bean","Phaseolus acutifolius","Pulse",NA,NA,"TB","Teparybean",NA,"C3","Annual",NA,NA,"Seed",NA,"Y","Seed",NA,"en.wikipedia.org/wiki/Phaseolus_acutifolius","Legumes"
"TEA","CRID","Tea","Camellia sinensis","Beverage",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Leaf",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Tea","Beverage"
"TEF","CRID","Teff","Eragrostis tef","Cereal","Forage","Ethiopian small grain","TF",NA,NA,"C4","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Eragrostis_tef","Cereals"
"TFS","CRID","Tall fescue","Lolium arundinaceum","Forage",NA,NA,"TS","Tallfescue",NA,"C3","Perennial",NA,NA,"Shoot",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Festuca_arundinacea","Forages"
"TGR","CRID","Table grape","Vitis spp.","Fruit",NA,"Various edible (non-wine) types","TG","Tablegrape",NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Transplant",NA,"en.wikipedia.org/wiki/Table_grape","Fruit crops"
"TNP","CRID","Turnip","Brassica rapa","Vegetable",NA,NA,NA,NA,NA,"C3","Annual",NA,"Y","Root",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Turnip","Vegetables"
"TOB","CRID","Tobacco","Nicotiana tabacum","Pharmaceutical",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Leaf",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Tobacco","Various"
"TOM","CRID","Tomato","Solanumn lycopersicum","Vegetable",NA,"Formerly ""Lycopersicon esculentum""","TM","Tomato",NA,"C3","Annual","SD",NA,"Fruit",NA,"N","Seed",NA,"en.wikipedia.org/wiki/Tomato","Vegetables"
"TRT","CRID","Triticale","x Triticosecale","Cereal, forage",NA,NA,"TL","Triticale",NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Triticale","Cereals"
"VBN","CRID","Velvet bean","Mucuna pruriens","Green manure",NA,"Mucuna","VB","Velvetbean","Mucuna","C3","Annual",NA,NA,"Seed",NA,"Y","Seed",NA,"https://en.wikipedia.org/wiki/Mucuna_pruriens","Legumes"
"VIN","CRID","Wine grape","Vitis spp.","Fruit",NA,NA,"VI","Vine",NA,"C3","Perennial",NA,NA,"Fruit",NA,"N","Transplant",NA,"https://en.wikipedia.org/wiki/Vitis_vinifera","Fruit crops"
"VMG","CRID","Black gram","Vigna mungo","Pulse",NA,"Various small-seeded legumes of S Asia including urad bean, ulundu","VM",NA,NA,"C3","Annual","SD",NA,"Seed",NA,"Y","Seed",NA,"https://en.wikipedia.org/wiki/Vigna_mungo","Legumes"
"WHB","CRID","Bread wheat","Triticum aestivum","Cereal",NA,"Bread, pastries","WH","Wheat","Wheat","C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Common_wheat","Cereals"
"WHD","CRID","Durum wheat","Triticum turgidum durum","Cereal",NA,"Pasta","WH","Wheat","Wheat","C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Durum_wheat","Cereals"
"WHT","CRID","Wheat","Triticum spp.","Cereal","Forage","All types","WH",NA,NA,"C3","Annual",NA,NA,"Seed",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Wheat","Cereals"
"WIL","CRID","Willow","Salix spp.","Bioenergy",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Willow","Sugar/Energy"
"WML","CRID","Watermelon","Citrullus lanatus","Fruit",NA,NA,NA,NA,NA,"C3","Annual",NA,NA,"Fruit",NA,"N","Seed",NA,"https://en.wikipedia.org/wiki/Watermelon","Fruit crops"
"WNB","CRID","Black walnut","Juglans nigra","Nut",NA,NA,NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Juglans_nigra","Nut"
"WNT","CRID","Walnut","Juglans regia","Nut",NA,"English or Persian",NA,NA,NA,"C3","Perennial",NA,NA,"Seed",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Walnut","Nut"
"YAM","CRID","Yam","Dioscorea spp.","Tuber crop",NA,"""Yam"" is often applied to sweet potato",NA,NA,NA,"C3","Annual",NA,NA,"Tuber",NA,"N",NA,NA,"https://en.wikipedia.org/wiki/Yam_(vegetable)","Root Crops"
"ZZ1","CRID","Cereal-unknown or mixture",NA,"Cereal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZZ2","CRID","Legume-unknown or mixture",NA,"Legume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZZ3","CRID","Grass-unknown or mixture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZZ4","CRID","Cover crop-unknown or mixture",NA,"Cover crop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
